index,ID_General,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Commenti,Data_Recensione,Vantaggi,Inconvenienti
11,11 Asana,Asana,Shashank P.,Digital Marketing Analyst,Information Technology and Services,2+ years,4,5,5,5,5,9,“Easiest Way to Manage Your Team Work and Tasks Handling”,"Overall: We have many promoting enactments spread over different time spans and over numerous brands we own. Having the option to arrange the entirety of this successfully and keep everybody on time has been a huge assistance and has spared us endless long stretches of time. We utilize this apparatus day by day to keep everybody on target, and I was unable to be more joyful with the outcomes. We have seen an improvement in announcing guidelines since we began utilizing Asana. Colleagues are straightforward and it is anything but difficult to see everything and help those that are having difficulties finishing ventures.",21/10/2020,"Pros: It's anything but difficult to actualize and to installed new clients. The interface is alluring and instinctive. New highlights are showing up at regular intervals - the as of late included Portfolio/Workload include is splendid. Presently I get the Gantts I have to screen my group's remaining task at hand and our numerous undertakings. Incredible labeling and search capacities make it exceptionally easy to monitor our horde promoting enactments and all their related expectations. Including subtasks and including teammates errands makes it extremely simple to monitor who needs to do what and by when. Different perspectives like records, schedules, and kanban sheets make it open to everybody in the group who thinks and cycles data in an unexpected way. The UX is perfect and basic, and the 'my undertakings' and 'inbox' highlights help us all monitor what's going on in our allocated zones.","Cons: The main con I have is that there is fairly a lofty expectation to absorb information for a portion of the further developed highlights, and there's some genuine reasoning and truly difficult work needed to get everything spread out and composed in the device and afterward get everybody onboarded. Be that as it may, I think this is likely going to be the situation with any group embracing a task the executives instrument. Despite the fact that it gives the choice to make sure about archives and information from altering by empowering the remark just element, it doesn't limit survey of the information of which it is a component they can add to ensure there is choice on who can see information among the colleagues."
12,12 Asana,Asana,Vanessa A.,Executive Assistant,Non-Profit Organization Management,2+ years,5,5,5,5,5,9,"“Asana helps me stay organized and on track, it's not always perfect but it's always improving”","Overall: I use Asana a daily basis in my work and personal life. I get my thoughts laid out and am sure to enter all of the tasks I need to keep on my radar so they are out of my head and I can sleep at night! I love how I can also I love the basic set up of Asana. I had been using it for years in my jobs, my business, and even my personal life. I love how well it helped me keep track of my tasks and projects. It helps me see what I need from different views but also keep items on my radar in my own projects while keeping them on the radar on my teammates projects. I love all of the features it has and keeps adding. And most of all I really appreciate that even though it is not a perfect tool it is constantly improving. Their Rules (automations) seem like a great start as it is a new feature, I'm already making use of it. It's very helpful that tasks can live in multiple projects and that you can switch from different views (previously you had to pick one and could not change it). The custom fields come in handy all of the time",17/10/2020,Pros: I love the basic set up and that you can switch between different views (when previously you had to choose one). Portfolios are great for keeping an eye on multiple projects. Having the ability to add tasks to multiple projects is a big plus and very helpful so that tasks can be seen from various perspectives. It's helpful also having the tag feature to group related tasks from various projects. It's great that I can add emails straight to the projects as tasks and it's clickable so if I need to get more info or reply to the email its easy to find and open. Custom fields are incredibly helpful so we can get the customized information that we need. Forms I a great feature as well though I haven't been able to get much use of them as they are right now.,"Cons: There are minor items that I'm not satisfied with. Automations/rules are very limited & it seems unnecessary to limit the # per project. The triggers & actions are also pretty limited but I understand this is a newer feature. I wish they'd incorporate tags into the automations. It also seems that the Gmail extension has not been updated in a long time. I wish some of the features were incorporated. For instance, I'd like to note what section of a project a task goes in while saving it. It's not very helpful if I need to go & find it in Asana to edit it. I wish there were a better way to work with templates, I don't like that templates look like regular projects in your list. It'd also be great if we could have templates for tasks as well. I wish there was a way to organize your favorites, perhaps by having sections. It'd be helpful if milestones could have a start & end date. The inbox is a bit overwhelming, it seems to capture everything & while you can just focus on the important items (like mentions) it still feels cluttered when you're on the main view & see every little update. Reporting could be improved on. It's a bit glitchy whenever you make a change to the report, you have to resave & also the only format that is helpful to me is the CSV but I wish it would produce a Google sheet & I wish we could control what fields get exported. I wish forms had more conditional logic as I can't really use them well as is."
13,13 Asana,Asana,Verified Reviewer,,Aviation & Aerospace,2+ years,5,5,5,4,4,10,“A must have for geographically disperse teams”,Overall: Love it! Can't live without it. I'm better at my job and better at working with my team because of it.,1/10/2020,Pros: I use this tool to stay organized and provide visibility to my teammates with my individual work. I also use it to implement processes for planning and task management for a team that sits across three different regions in the world. It really helps keep us all on the same page.,Cons: It is easy to get disorganized with this tool. You really need to manage what you create. It can get messy and confusing if you don't use the features intelligently.
14,14 Asana,Asana,Verified Reviewer,,Marketing and Advertising,2+ years,5,5,5,5,,10,“Asana for Digital Agencies”,Overall: I solved the workload of every member of my team and the priority of each task. I was able to have a clear and open vision of the situation with each client and deliver their requests on time. It was very helful to us.,14/9/2020,"Pros: I used Asana for 1-2 years while I was working on a Social Media Agency. It helped me a lot to organize my team. I was able to track all the tasks in their differents stages and also I could know the workload of every member of my team. Also I integrated Asana with my Gmail and created tasks from there, very easy and quickly.","Cons: When I started using Asana, I had trouble copying and pasting images directly from the email body. Then when they achieved integration with Gmail, this was resolved. Also, email notifications were quite annoying until I learned how to disable them. Maybe they could add a feature to only send email notifications for important tasks."
15,15 Asana,Asana,Verified Reviewer,,Graphic Design,2+ years,5,5,5,,5,10,“Robust Project Management Software for Creative Agency”,"Overall: Asana has allowed our business to become so much more streamlined, and we no longer worry about dropping balls or missing deadlines. We have been able to accomplish so much more work because of our organization within Asana.",6/8/2020,"Pros: Asana has been integral to our business in the last few years -- the platform allows for robust content / project management. We are a small design and web development agency, and we're finally able to track our projects from first inquiry to project close. Asana has been an amazing tool for keeping our processes efficient and transparent, and we've set up teams shared with some clients so that they too can be aware of our progress on their projects. We've also been doing all this using the free version -- we briefly tried a demo of the paid tier, but we found that for our small (and somewhat change-averse) team, the free version has virtually everything we need.","Cons: There are some elements of Asana that are surprisingly inflexible -- we'd love to have more color options to differentiate our projects and tags, rather than having to use the same 16 colors, for example. And the email notifications are not great -- they send more than is necessary, and they're not very customizable. Asana's customer support team is responsive, but all the requests we have appear to also have been in the request queue for years."
16,16 Asana,Asana,Benjamin W.,Developer,Information Technology and Services,2+ years,5,5,5,,5,8,“Asana Makes Projects Easy”,"Overall: Using Asana has been simple and effective. It has been very easy to manage the day to day, mid range & long term tasks that I need to stay on top of. Asana's user-friendly & intuitive interface has made it a welcome addition to my workflow management",2/8/2020,"Pros: The thing I like most about Asana is the ease with which you can update a task. Asana has a very simple & intuitive interface. It was very easy to update the tasks, create new tasks, make notes, etc., all from the home screen.","Cons: I have been using the free version, so not all features are available to me. I would like be able to create multiple projects, but I think that is available in the paid version. For now, and for what I've been using the program to assist with, I don't have any cons about Asana."
17,17 Asana,Asana,Chase H.,Creative Brand Director,Retail,2+ years,5,4,5,5,5,9,“A god-send for getting us organized”,"Overall: We have a lot of different marketing activations spread over various time periods and across multiple brands we own. Being able to organize all of this effectively and keep everyone on schedule has been a tremendous help and has saved us countless hours of time. We use this tool daily to keep everyone on track, and I couldn't be happier with the results.",9/7/2020,"Pros: Powerful tagging and search functions make it very simple to keep track of our myriad marketing activations and all their associated deliverables. Adding subtasks and including collaborators on tasks makes it very easy to keep track of who needs to do what and by when. Various views like lists, calendars, and kanban boards make it accessible to everyone on the team who thinks and processes information differently. The UX is clean and simple, and the 'my tasks' and 'inbox' features help us all keep track of what's happening in our assigned areas.","Cons: The only con I have is that there is somewhat of a steep learning curve for some of the more advanced features, and there's some serious thinking and heavy lifting required to get everything laid out and organized in the tool and then get everyone onboarded. However, I think this is likely going to be the case with any team adopting a project management tool."
18,18 Asana,Asana,Verified Reviewer,,Non-Profit Organization Management,2+ years,4,5,4,4,4,8,“Only one issue....”,Overall:,24/6/2020,"Pros: I have been using Asana since 2013 and have taken it with me to each job I have had since. I love the adaptability of the program. I'm able to use it as a daily task list and can use it to manage a team and a project. They have a lot of ready-made templates that you can use, or you can create your own to use repeatedly like for a board meeting or other projects that have the same tasks each time. I constantly am recommending it to other Executive Assistants as it tends to play well with most programs.","Cons: The main complaint I have is that it does not work with Google Aliases. So if your company has a main address, but uses aliases for different departments it will not recognize the alias which means you can't email the project or tasks in Asana. It's not a deal-breaker, but it is a hassle. I've seen many complaints about this but Asana is deaf to them and refuses to correct this. That leads to the arrogance that tends to come through for items like this and attitudes towards religious non-profits, I find it rather sad as it is a really good program, but they are comfortable with it and not willing to help..."
19,19 Asana,Asana,Marcelo V.,Agile Coach,Financial Services,2+ years,5,4,4,4,4,8,“My Asana Review (Brasilcap)”,"Overall: I am happy with it overall, but then i am a heavy user. I see that other team members take sometime to assimilate its potential and value",22/6/2020,"Pros: Once you know where to go, it's show great use on promoting transparency and team collaboration","Cons: Lack of reports Scrum/Kanban likes. A Query engine would be superb. I use these at Jira and helps a lot. Also some constraints vallidation, configuration/confirmation os necessary fields, things like that"
20,20 Asana,Asana,Odette S.,Deputy Executive Director,Non-Profit Organization Management,2+ years,5,5,5,5,5,10,"“Intuitive, Powerful, and Beautiful To Do App”","Overall: Asana has allowed our office to both keep extremely flexible and extremely specific project to-do lists. It also allows us to keep our conversations about an issue or project in one place, archived for all time. Additionally, we are able to keep reference information about each project in Asana, creating one central place to check for details, status, and tasks on each project.",22/6/2020,"Pros: Asana is extremely easy to implement in an office. The design is clean and intuitive and feels very familiar and easy to use from Day 1. Love the ability to create tracking boards or lists, depending on what my need is; and the ability to switch between both of these views is a huge plus. The animations are a delight. Love the Chrome and Gmail plug-ins, I use those multiple times a day. I liked Asana so much that I implemented it at home to keep our family on track and organized.","Cons: I wish there was the ability to personalize the skin of the app more -- different backgrounds for the desktop, stickers. I also wish that Asana could integrate with electronic planners to replace their to-do list function."
21,21 Asana,Asana,Linda S.,Project Manager,Management Consulting,2+ years,5,4,4,5,5,10,“Without Asana? Without me!”,"Overall: Every process, every step, every project - it's all about Asana. It ""lives"" in Asana which saves us time for other stuff. Asana makes going to work fun for everyone since we know where we can find everything and where we DO everything.",20/6/2020,Pros: Asana is a Game-Changer. It truly optimized our processes since we can automate them with this amazing tool. Also everyone in the company is able to work from wherever they want - only by using Asana. It is the best tool for organizing projects and keeping in touch with all the people in your company. You can do repeating processes as well as agile projects. I love it! And I will recommend it to everyone who is in need of having better working processes - and of course more time for other stuff.,Cons: Sometimes it's all about the details. And there are some things in Asana that need to be fixed: e.g. you need formular drafts that you can simply duplicate as well as not having a maximum number in custom fields. It would be also nice if you could automate and individualize custom rules more - but as I said: just details.
22,22 Asana,Asana,Amber B.,Operations Manager,Executive Office,2+ years,5,5,5,,5,10,“Asana Review”,"Overall: We have really been able to streamline processes using asana. Also, being able to really have one place to house all info about a project. I also love using the workload feature. This way I can work with sales to see who needs more work and who is about to go on overload.",19/6/2020,"Pros: User friendly, ability to use minimal features to as in depth as you want. This helps a lot for my Executives that don't need to know the ins and outs. Also, the training videos help tremendously to on-board a new employee who has never used the software before. I don't have to come up with my own.",Cons: Still waiting on Forms that can be created and used at a Team level and not just a project level. I'd love to be able to do more automation with in the software itself. Right now I have to use google forms and zapier to do any if/then functionality.
23,23 Asana,Asana,Vasileios N.,Web Development Manager,Computer Software,2+ years,4,5,4,4,5,8,“Asana is the tool of choice when managing digital media projects”,"Overall: Asana is the tool of choice when you want to manage digital media projects. The ability to implement strictly Scrum , Kanban rules is up to you without any restrictions set from the software - and you can be as versatile as you want.",19/6/2020,"Pros: - Asana is a really intuitive project management tool with a really small learning curve comparing to the likes of Jira, Monday and Airtable. New team members can easily get onboard without much training. - Really flexible as well as it lets you create all kind of project boards based on your needs. Does not restrict you to a specific logic i.e. Jira ; while at the same time gives you tools to organize and shape your project plan as you like eg. with the use of Custom Fields - really cool",Cons: - The Portfolio functionality being on the Business tier - Having to enroll ALL team members to Business tier and not just some members of the team i.e. just the line Managers. Not everyone needs to have access to the Business tier features and tools.
24,24 Asana,Asana,Laura A.,Research Coordinator,Research,2+ years,5,4,5,5,5,10,“Excellent for professional AND personal use”,"Overall: When I started with my company a little more than a year ago, we knew we needed to find ways to streamline our workflows and keep everyone on the same page. I found Asana and it was a near-perfect fit. It has taken a bit to get everyone on-board with the software because it was different than how they've worked before, but we're rolling along now. We wish there was a bit more flexibility with certain built-in features like the progress reports, but overall, as a small research company, it's really helping us work together.",19/6/2020,"Pros: I'm with a very small company, but we still find Asana helpful for keeping up to date with everyone's tasks. Comments, progress reports, and the ability to connect tasks with dependencies allow us to function as a team, tagging in and out of a project as needed, without missing a beat.","Cons: There is a learning curve for those that are more inclined towards pen/paper lists, which has made implementation a little bumpy. Also we find that because certain things are built-in (like project statuses), we can't always capture precisely where we're at. For instance, there isn't a way to indicate in progress reports that something is ""On hold""."
25,25 Asana,Asana,Hugo C.,Projects managers,Computer Software,2+ years,4,5,5,4,4,9,"“Free version is already great, it is even better when you upgrade”","Overall: I have been using Asana for many years, when I need to refer to a good and useful tool for managing project, I always say Asana. Moreover the free version offers all the needed basic features, it is impressive.",5/5/2020,"Pros: The clean UI, the board and custom fields.",Cons: Subtasks management (mostly in the board view) because too much click to reach them and no overall view (no nice hierarchical view with parents and child tasks).
26,26 Asana,Asana,Sarah F.,Graphic Designer,Design,2+ years,5,5,5,5,5,10,“Highly recommend Asana”,Overall:,28/4/2020,"Pros: I love how easy this software is to navigate. Due to the clean and simplified design, I can ""add/create a task"" with the click of a button. It gives me the options to add a project title, project description, due date and even categorize the assignment. As a Graphic Designer, each design project falls in various categories, and it is extremely helpful to be able to label each one. I also love how easy it is to add people to your account, and not only be able to assign or pass projects along to them, but to be able to view their project lists as well. Lastly, it only took a few minutes to have someone explain to me how to navigate the software, which is not only wonderful, but time efficient.","Cons: I would love if there could be a feature where you can instant chat your friends. With that chat box, we could easily talk about project details, etc, instead of having to open up a separate browser to write out an email. I believe having a chat box would allow more direct and faster communication."
27,27 Asana,Asana,Eddie L.,Co-Founder,Education Management,2+ years,5,5,4,,,9,“Best in class product”,,24/3/2020,,"Cons: Not everything is perfect, but newer versions started limiting some functionality about how we represent data about specific items on the task list. Sometimes I wish tasks could be tracked in a more storyboard format, but that was less for the use case of software development, and there are other platforms for that."
28,28 Asana,Asana,Verified Reviewer,,Food & Beverages,2+ years,4,3,4,3,4,7,"“Asana is a great team tool, but could use some tweaks.”",Overall:,19/3/2020,"Pros: Overall, Asana is a very robust and well-rounded project management tool for teams, allowing for near complete customization depending on your need. It can be used as a very high level/overview approach to projects and tasks, down to a very granular and detailed level of project management.","Cons: While the software is incredibly robust and able to be manipulated to your individual or team need, the lack of structure can be a bit daunting. Our small design studio has fairly replicable and common design 'tasks', yet despite my endless searching and researching, there seemed to be little in the way of 'templates' for client/branding-driven graphic design studios, to get started. Rather, it feels very geared toward web and developer design tasks. Also, while I do often work with clients transparently throughout the design process (allowing them into Asana to help accomplish tasks), as well as contractors, Asana is not particularly friendly for studios as small as mine. Rather, it is more geared towards larger studios with many internal 'teams.' And, clients can get lost commenting and checking and responding and sharing within the platform, as the Inbox feature feels cluttered and sometimes lacking visual hierarchy. For example, a comment can end up attached to a specific sub-task, where it will not be seen easily in the overall project task-and getting missed altogether sometimes. Lastly, while Asana is very customizable, some of the ways they treat teams vs. projects vs. tasks can feel a bit backwards, leaving you to 'jerry-rig' the layout and items to work in a best-case project flow for you or your team."
29,29 Asana,Asana,Mike G.,President,Marketing and Advertising,2+ years,5,5,5,,5,10,“Asana for Client Social Media Project Management”,Overall: It's our go-to project management tool for client social media work. We are a remote team so we need a cloud-based tool to keep everything organized and it does just that. Love the mobile app as well.,19/3/2020,Pros: Asana has been a huge asset for our team. We can break client work down and keep it all orderly in one place with great updates.,Cons: Sometimes I get to many emails! Takes time to go in and identify who should get what alerts and updates.
30,30 Asana,Asana,Jake R.,Digital Marketing Specialist,Hospital & Health Care,2+ years,5,5,5,3,4,9,“An honest review: The Pros and the Cons!”,"Overall: With the exception of having trouble reaching customer service to address a billing issue, I have nothing but great things to say about Asana. Our experience using the software has been great. It's helped my team to stay on top of multiple projects/deadlines at the same time without letting anything slip through the cracks.",16/3/2020,"Pros: Asana is extremely beneficial for tracking your progress/success on large team projects or individual tasks. The key features Asana offers can help you to ensure your team meets specific deadlines, any stumbling blocks are addressed in realtime, and it keeps everyone on the same page. I've used other project management softwares, such as Teamwork and Asana has been the most user friendly platform I've used to date. If you have members on your team that work better with daily reminders, this can be extremely beneficial to keep them on track and ensure high productivity","Cons: There's one thing in particular that I've found to be frustrating with Asana. Their customer service has been extremely hard to reach at times. They do have employees with phone extensions, but you won't be able to find them online. They do provide a chat feature, but don't always follow up in a timely manner, which can be frustrating if you're operating on a deadline. Specifically, we had an issue with our billing and I could not get a hold of someone from Asana for weeks. We fortunately found a way to contact a representative from an email I had saved from prior communication. Aside from this, I have no cons to point out about the functionalities of the software itself. It's a great tool and would beneficial for any team to use."
31,31 Asana,Asana,Nic M.,Freelance Consultant,Information Technology and Services,2+ years,5,4,4,4,4,8,“Accuracy for teams!”,Overall: Asana has helped me help my clients in increasing efficiency and establishing an understanding between multiple business areas.,26/2/2020,"Pros: Asana has a number of templates and various different ways to manage and execute projects of different natures. For example, I use and always suggest to my clients that they use a weekly meeting templates where the sections match the various business operations such as marketing, operations, accounts, warehouse, etc. This allows items for discussion to be addressed in the weekly meeting and then allocated to the projects and individuals for execution. It's great for collaborating and ensuring that everyone in a team nails their dealings.","Cons: I do find it a bit pricey for smaller businesses, especially when handling multiple clients/projects from a single account and each project needs to be private. It's too expensive for freelancers or small agencies."
32,32 Asana,Asana,Gabriel E.,Business Analyst,Information Technology and Services,2+ years,5,5,5,4,3,10,“Best way to coordinate work between agile teams”,"Overall: Asana is one of those tools you can't live without when you add it to your workflow. It offers great capabilities to coordinate people and leave all decisions made about a topic in the same place. If everybody in your organization is using it, you can really leverage its power. Its beauty relays in its simplicity, you can't make fancy things such as track progress of a big project distributed between several teams, but you can use your imagination to go over these issues. The API will give you all the flexibility you need if you know how to code.",20/2/2020,"Pros: - The ease of use of Asana is one of the best out there no matter the product. It's so easy to start creating task and discover what can you do with them it easily adjusts to your work flows, specially if you work with lots of people. - Everybody can edit tasks, this allows to use Asana as a hub for communicating everything related to a topic, tagging tasks and mentioning people so they get notified. - Hotkeys, I hate going back and forth between the keyboard and mouse (hate using touchpad), Asana provides hotkeys for almost everything you need to do, tab will be your magic key.","Cons: Poor reporting. I work in agile projects and would like to see BurnUps and burn downs, be able to define sprints and reporting associated to the big picture. To do so, you have to manually create projects that act as sprints, you end up with lots of projects and lose the big picture. On the bright side, it provides an API, so I connected to it, and using tags I was able to create customized reporting. Expensive, its cost compare to world-class project management solutions, like Jira. I believe it's worth the money, but as a small company we couldn't afford it. (this was a year ago, before starting at Globant)"
33,33 Asana,Asana,Mackenzie J.,Marketing Director,Sports,2+ years,4,4,4,,5,8,“An Advanced Version of Trello”,Overall:,6/2/2020,"Pros: Asana operates similarly to a Trello board, but has more features and functionality, making it a better investment for teams and individual contributors. Asana enables you to both track tasks along a customizable set of groups and track/prioritize tasks for individuals and teams. Not only that, Asana's interface makes it easy to have and store conversations pertaining to project success with real-time alerts when a new comment is added. It has made working with my team and other business units much easier","Cons: Asana does have some limited functionality that can result in lengthy conversations within each project ""card."" Because you are unable to link text, you must paste the full URL, which can get messy when you are adding 5-10 URLs to outside pages/docs/etc. We also cannot add rich text features like tables, which would prevent us from creating a GoogleDoc with the table and adding the link to the text thread. Small inconveniences, but inconveniences nonetheless."
34,34 Asana,Asana,Jillian S.,Vice President - Campaign Operations,Marketing and Advertising,2+ years,5,5,5,4,5,9,“Best Project Management Platform”,Overall: My team manages Marketing Campaigns and Design Projects with Asana - we did a trial with Monday.com and ended up staying with Asana because of the over all features and capability of the platform along with ease of daily use...Asana is by far the most user friendly task management platform available,4/2/2020,Pros: I have recently optimized my team Asana usage by increasing the number of projects they can manage on their own in addition to Admin view / reporting...these optimizations were a GAME CHANGER for me as the administrator and manager of up to 15 Asana users. It takes a bit if playing around with features but everyday my team is becoming more efficient through their Asana project and task management.,"Cons: The only thing that could have swayed me to rate this platform a full 10/10 would be the Customer Support. There is no ""live chat"" feature with Asana which makes it incredibly difficult and TIME CONSUMING for the clients to research and dig around the articles and forums to find answers for them selves. I'm a millennial and do a ton of research before I get to the point of frustration in not finding what I need so it takes A LOT for me to seek out a response from support. My answers are not easily found and I spent about 3 weeks trying to figure features out on my own - ""live chat"" with support would get this to 10/10."
35,35 Asana,Asana,Filipe F.,Delevoper,Information Technology and Services,2+ years,5,5,4,4,5,9,“Asana review”,Overall: Asana is the best way to organize my work and share project status with clients Easy to use on desktop and mobile,31/1/2020,"Pros: Asana is a great application to organize my tasks I can organize it by projet or client or software version, .... we can define tags to organize task and projects With Asana I can have a overview of my projects where I want, work great of mobile as too Asana can share task with others, to great overview of project Asana is easy to use for all people",Cons: At moment Asana have a lot of functionalities that is enough for organize my work I use it every day with out any problem
36,36 Asana,Asana,Verified Reviewer,,Information Services,2+ years,4,5,4,5,4,9,“Intuitive Collaboration and Project Tracking Tool”,"Overall: I have been using Asana for close to two years now to track my day-to-day activities, project cutover tasks and tracking support tickets. I like the design and the layout of the tool and how intuitive every action is. Would definitely recommend it.",15/1/2020,Pros: Ease of Use - The tool is intuitive. No learning curve needed. Organized User Interface. Automated Email Notifications. Cloud Service - Can be accessed using thin client. Search feature works well and is fast. Adding Tags.,Cons: Unintentional clicks sometimes triggers actions. Configuring the automated emails was a bit confusing - Emails were sent out to the whole project team whenever a new task was created which we didn't want. We eventually configured it properly.
