General_ID,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Data_Recensione,Commenti,Vantaggi,Svantaggi
10 Go_To_Meeting,Go_To_Meeting,Ana B.,Architectural designer,Architettura e urbanistica,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,5 /5,10/10,Must have conferencing tool but can be confusing,19/1/2020,"Overall this is an indispensable tool for me despite the bugs that might pop up, or because it makes it easier to conference with team members who are not able to be present at my meetings. It is also very helpful to attend a meeting when I am not able to attend in person, such as when I am sick but can not afford to miss out on a critical meeting.","This is a must have tool for participating in meetings that have people in different locations. You can speak to each other, see each other, and share screens, and this goes for having dozens of people in the meeting. It is easy to set up a reoccurring phone number and link to call in which is helpful if you have a project with reoccurring meetings. If you are a user calling in to a meeting the directions you follow are fairly easy to follow and understand when you are on your computer, which is usually the case for me and my colleagues. I will also say the sound quality is consistently high, compared to other competitors of Go To, and I appreciate the tools to help others follow along with where I am referencing on the screen share(pointer, highlighter etc)","It can be very difficult to call in to a meeting if you are just on your phone. It is not as simple as calling a number, you have to enter different codes and if you are driving or on the go it can be challenging to open your outlook calendar or email to find the code to enter, or if you have misplaced it you can have troubles getting in to the call. I wish there was a better system for calling in rather than dialing such long numbers into the phone several times. It can also be easy to confuse different meetings with one another and accidentally call in to a meeting you are not invited to, instead of your meeting you are late to, as all the meetings are essentially random phone numbers. I have also had several instances where I will conclude a meeting but still have the line open accidentally, and voices from a meeting not at my company will emerge from the phone, very strange. This could be more user friendly. I have had some glitches where people cannot hear me, people get dropped off the call, or the meeting will suddenly end due to error but this is very rare."
12 Go_To_Meeting,Go_To_Meeting,Arturo M.,Developer,Servizi e tecnologie dell'informazione,Più di 1 anno,5 /5,5 /5,4 /5,3 /5,4 /5,10/10,Pretty good conference software,21/9/2019,"The overall experience is really good; GTM runs flawlessly every time and it is full of options. The main con is just related to its price. However if you or your company can afford it, it is a really good option as a meeting software.","Gotomeeting is a pretty complete meeting software. It features the most common options on the majority of the meeting apps, such as allow to audo or video conferences, allow to share the screen or give control of you desktop to a participant of the meeting, record the sessions and so on.
Besides that it also offers some interesting options that in my opinion give GTM an extra value. One interesting feature is that the metings may have an owner that can set different level of permissions for the participants, allowing them to re-schedule the meetings of only participate as listeners but forbidding to talk. The meetings can be scheduled without need of a calendar app, so you can have your scheduled Daily scrum meeting and just need to access GTM to attend. It also count with Google Chrome plugin and a Google Calendar integration in case you're more comfortable that way. To invite people to a meeting is also really simple. It is possible to send a regular mail invitation, but it is also possiblo to do it by sharing a url link or the meeting Id number. Besides all these features, the audio/video quality is excellent, and I've never have a problem during a meeting.","Maybe the prices are a bit excesive for what it offers, since although other options may not have that many features, they are way more cheaper than GTM and this is the reason my company drop GTM some time ago when we started using G-suite, so we migrate to google meetings."
13 Go_To_Meeting,Go_To_Meeting,Simeon R.,Developer,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,3 /5,5 /5,10/10,Easy and quality meetings,20/8/2019,"In general I've a really good experience with GTM, the video/audio quality is remarkable, and the usability is excelent. In my humble opinion, is one of the best meeting software I've ever used.","GoToMeeting deliver in general high quality in audio and videomeetings and most important provides really quick and easy way to setup meetings with your team or any other GTM user.
It has integration plugin for GCalendar, which makes really easy to setup a ""conference room"" for a scheduled meeting and invite multiple attendees.
The recording option really save your day when there are lots of topics to follow and no time for taking notes.
It also have interesting features as indicating who is talking both when you're using video and when is just an audio meeting, which at some points is also really useful when you don't actually know all the attendees. Beside this it provides also regular features as other meeting software like written chat, presenting mode, and so on.","The only bad experience I had with GTM is when the owner of a recurring meeting is on holiday or leave the company, was almost impossible to change the owner in order to modify the meeting or cancel it. Only contacting with the admin team solved these issues."
14 Go_To_Meeting,Go_To_Meeting,David Y.,Managing Editor,Editoria,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,4 /5,8/10,Solid Performance and Reliability,20/8/2019,"I love using GoToMeeting for my team meetings. It's reliable and easy to use. We have tested out other meeting solutions including Zoom, but none compare to the ease of use found with GTM. Zoom meetings, for instance, have a much different interface, and very little is intuitive about the dashboard. Conversely, GoToMeeting's dashboard is easy to understand and follow. You can also easily change your user name within a meeting, so if you are on an informal meeting with team members you might just list your first name, whereas for a client meeting you can list your full name, title, etc.","Our organization has used GoToMeeting for many years. It is a solution that enables individuals to connect via a url to a virtual meeting. It is ideal for companies that have remote staff or staff that travel frequently and cannot physically attend a meeting. This is among GoToMeeting's best features. Other advantages include the following:
1. It's very easy to assign a permanent meeting url to your team members. This is a great feature, because nothing is more annoying than having to create new urls for meetings. With GoToMeeting, you can use the same url again and again.
2. It's very easy to assign meeting control (i.e., switch presenter) to other members in the meeting. This is especially helpful when presentations need to be shared with others. It's also a great way to perform edits to presentations in real-time with team members who are not physically next to you.
3. Users can share their web cams. We sometimes make this obligatory, as it helps to ensure that those in the meeting are actually paying attention and not multi-tasking.","You have to make sure to switch your audio depending on how you join the meeting. If you join by phone but forget to switch your GoToMeeting dashboard setting to phone audio, you (and others) will hear a loud, ongoing each until you make this switch. Ideally GoToMeeting would recognize the source from which you are joining (phone or computer audio) but since it does not do this, it's best to get into the habit of switching this manually to avoid the loud echo."
15 Go_To_Meeting,Go_To_Meeting,Jeffrey T.,Owner,Intrattenimento,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,GotoMeeting Video Meeting with ease,3/3/2019,"Being able to communicate with other people in my company and the ability to have it recorded, with being able to go back and see who said what and who was suppose to do what. Just the time of not needing to take notes is wonderful. Now I just print them out and highlight the important stuff. GoToMeetings has made my business look larger than it is when I speak with very large companies. When I set up a GoToMeeting with them they are very impressed. It also gives me the opportunity to demonstrate our products. It's so much better than having them go to YouTube to watch a video. At GoToMeeting I demonstrate and then they can ask questions there ""real time."" If they want me to change a parameter, I can do that, right then, ""real time."" So my experience over all is wonderful.","The people at GoToMeeting have made putting a meeting together simple and easy. I have used their product since it came out on the market. There are Individual mode where the video is on one person and everyone else is watching or you can place it in a group mode where you can see the faces of others in the meeting. No need to take notes GoToMeeting will record your meeting and transcribe it for you, then if you have items that were shown in a prsentation to them you can go back and make links they can go to. Meetings can be only one person speaking or it can be interactive with the presenter controlling who speaks when. The people at GoToMeeting are always one step ahead and the communication market evolves. You can watch, listen and speak through your computer or you can still call into an 800 number. I can't say enough about how easy it is to use the software, it only took me about an hour to review the features and felt comfortable that I could operate the software. They are a;ways coming up with new features.","Cons? What cons? I have to say I know nothing that would be a limiting factor except maybe the number of people you can view, but how many people can you really view on one screen. No honestly I would reccomend this to a business of two people that are in different locations to communicate back and forth as it records your meeting and transcribes it. So, no I have no con's"
16 Go_To_Meeting,Go_To_Meeting,Samridh S.,Electrical Engineer II,Ingegneria meccanica o industriale,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,3 /5,8/10,Virtual Meeting with Goto Meeting,1/2/2019,I use this software almost on a daily basis to communicate with team members that are not situated in the same geographical location. It is the company wide go to software for all and it does make connecting with virtual teams much simpler. I think there is something for everyone in this software and it will only get better with time.,"This software is extremely helpful when you are working with a team that is either located in different states domestically or different countries internationally. It is an online platform and browser based so pretty much very very easy to get started. Just setup a account, open browser, go to their website and log in. The software has made useful features but the ones that I have used and like the most are,
- Setup Recurring meetings (so I don't have to go back and do it over and over again)
- Switch between presenters (you can give authority to other participants and let them share their screen)
- Give authority for keyboard and mouse (they can control your screen from their end which at times has been life saver for me)
- Very easy to user user interface (All options are right there on the goto window and it can be either maximized or minimized)
- Says who is speaking (When you hear a voice you can see on the bottom of the screen who is speaking at the moment)
- Can have lot of participants ( I scratch the surface for number of attendees I can have during the meeting.)
- Webcam option (Yes you can choose to enable disable webcam so others can see you)
- Chat option (if you can't hear someone type a message on chat and see if they respond back)
- Record (I haven't used this feature but i bet it would come handy when you do a massive presentation and not everyone can attend but you want them to see what they missed)","I have had many issues with this software. Some few times I have ran into these situations
- I cannot hear the other person though I see them online
- If I start meeting before the scheduled time it acts weird"
17 Go_To_Meeting,Go_To_Meeting,Bonnie M.,educator,Istruzione superiore,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,I LOVE GTM!! (GoToMeeting),19/9/2018,"I love GoToMeeting (GTM)! I teach online and hold live chats sometimes 3 nights a week. I have to sometimes use another program, and at times when it doesnâ€™t work I have quickly jusmped on GTM and it â€˜saves the dayâ€ every time! I love the new TRANSCRIPTION feature too! And so do my students. Granted it isnâ€™t perfect, but what speech-to-text feature is? I make sure to use GTM and introduce it to my students at least once per course. The following week I will switch back to the other program, and then I let my students vote on which program theyâ€™d prefer to use the following week â€“ GTM wins every time! I have used other online VOI chat tools, but they seem to keep changing?! They ""think"" they're making improvements, but take away such a valuable feature as being able to share the moderator's entire screen?! Why?! Either that or their newer version cannot â€œhandleâ€ sharing the entire screen and errors out showing the same screen over and over again in a trail of overlapping screens that run off into infinity. GTM is just easier to use! Inviting attendees is even easy â€“ just set up a future meeting and the email invitation is created for you! Easy peasy! I just took a another look at it again and played around with resizing and moving the feature windows and I even found something else about it that I didn't know before...so now I love it even more!","Being able to quickly and easily show my online students what I am doing, by sharing my entire screen/desktop, on my computer is so important! SHARING MY ENTIRE SCREEN regardless of which program I am using, or switching to, and to also have them see the pop-up or embedded windows (like scroll over Alt tags or edit menus & windows) is a must! Another program (that I will not name) recently changed that specific feature so if the moderator shares the entire screen an infinite trail of windows appears and no one can see a thing. I'll choose go to meeting every time if I have the choice between the two! Don't get me wrong - GTM does allow you to also share only one specific application/program at a time IF that is what you would prefer to do. I just need/prefer to share my entire screen.","Honestly, the only thing I can think of is I wish GTM would allow the attendees to ""raise their hands"" to let me know they have questions, or that I have missed a text/typed question. Either that or just give them an icon that can be clicked on that rings a bells in my ear so that I know to pause and/or ask the viewers to type their question again. I can understand that some moderators might not want to allow such interruptions during a presentation, or during a specific time, but giving the moderator an ON/OFF option for it would work for everyone! The little icon/button could be placed right next to the MIC controls on the Attendees pane."
18 Go_To_Meeting,Go_To_Meeting,Garin H.,Founder and CEO,Software informatici,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,4 /5,8/10,Solid and everywhere but could be improved,5/10/2017,"This is very well designed software for remote meetings with audio, video, and screen sharing. I also love the companion product GoToWebinar that I've used for many webinars over the last several years. GoToMeeting has gained such good adoption that it has integrations everywhere with tools like Google Calendar, Chrome, Zapier, and others. We used GoToMeeting for years for internal meetings, sales calls--basically any meeting with remote participants. I've even used it to pull church members into my Sunday School class on weekends that are homebound because of illness. I like how you can create a persistent link that you can go to every time rather than having to set up a new link for every meeting. Just be careful if you're having back to back meetings with the same link--otherwise, you get the next audience showing up at the tail end of the current meeting. I solved that by creating two persistent links and alternating them when I have back to back meetings.",It takes more bandwidth than competitors like Zoom.us for similar functionality. Chat is limited to chatting within the meeting rather than creating chat rooms inside your company for teams to collaborate on then hop on a remote meeting. It's meant to be used every time you want to meet rather than an ongoing collaboration tool all of the time. I think they could learn something from Zoom about this.,"Honestly, the only thing I can think of is I wish GTM would allow the attendees to ""raise their hands"" to let me know they have questions, or that I have missed a text/typed question. Either that or just give them an icon that can be clicked on that rings a bells in my ear so that I know to pause and/or ask the viewers to type their question again. I can understand that some moderators might not want to allow such interruptions during a presentation, or during a specific time, but giving the moderator an ON/OFF option for it would work for everyone! The little icon/button could be placed right next to the MIC controls on the Attendees pane."
19 Go_To_Meeting,Go_To_Meeting,Momoko T.,Marketing Coordinator,Marketing e pubblicità ,Più di 1 anno,5 /5,5 /5,4 /5,4 /5,4 /5,9/10,The best platform for online meeting,2/10/2019,"I think it's a great essential service to all companies for smooth and fast communication, especially when staff are over the place in different cities, so having this service helps bring everyone together despite the distances.","Simple navigation, ease of invitation to join the meeting, and simple layout. I appreciate how fast and smooth the program is and how easy it is to teach my staffs how to create and join meetings. People are able to type in the chat during the meeting if they are too shy to speak, or people can just join the convo whenever. I like how it also shows you which microphone belongs to which users when they are speaking so I know who is speaking. I also like how you can share your screen, which is the most important meet of the meeting for me in order to present my slides for training and promos.","I was hoping there would be a function where I can send reminders out an hour or two before the meeting just so my staff don't forget about the meeting. I know this is the staff's responsibilities, but having a push function could be handy, too."
20 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Technical Test Lead,Servizi e tecnologie dell'informazione,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,8/10,GoToMeetings - Excellent tool for Team Conferences,7/12/2019,"Overall experience is nice, it helps in delivering work and makes it look so easy to manage the work with the best communication medium.
It has got great customer support too with great privacy and even cost efficient. Best in business, delivers what it promises.","It's the best tool when it comes for video conference with team or other parties. It can be used for professional use or your personal use as well. It is very beneficial in terms of its cost when compared with other products in market.
It enables communication between multiple participants at real time through audio or video conference. The best thing i like is, no matter where i am, i can solve any kind of issues arrises with my team or in company with very easy be it on desktop or through mobile.
Talking about the privacy, it has got best encryption system and has got a better security to your messages.
Knowledge transition sessions can be conducted with large number of group very easily, even if the employee is working remotely and unable to travel. It reduces your effort and travel cost at the same time.","GoToMeeting has got many advantages and i have no dislikes as such with the tool. But one thing really irritates that is if many people talks in the meeting at the same time, there are issues with the audio but gain there is option provided to mute whom you don't want to hear or enable to talk. It requires little training on it and not that handy option when you are on the meeting and need to enable that option immediately."
21 Go_To_Meeting,Go_To_Meeting,Dioneiber M.,associate,Relazioni pubbliche e comunicazioni,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,9/10,the best tool for video conferencing.,13/7/2020,"With Gotoometing I have solved many problems, mainly remote communication with my coworkers, friends and family, since we started using this application as the main communication tool in my work we have greatly improved our organization as a company, I have been able to connect from anywhere since it not only has a web version but also for mobile devices and tablets, due to its simple and easy-to-use interface, anyone can adapt to it quickly.","I like a lot of Gootomeeting, it is an ideal tool for my life, in the work aspect my work day works perfectly for the ease, speed and efficiency that it has since with them I can share screens, links and files, I can organize a meeting by video-conferences and I know that I have everything under control with this application, due to my type of work, mostly my colleagues or I are not present in the offices, we need to travel constantly and with this application we carry the company perfectly in a virtual way, now, in the area Personal continues to help me in many aspects, as I travel due to my work, I always communicate with my family and friends through this application, I can speak hours continuously without any problem, providing an excellent experience for both me and my receiver.","Currently with Gootomeeting I have had no problem, on the contrary it has served to help me in managing the areas of my life both work and personal, with excellent efficiency and has always offered me an excellent service, therefore I have nothing negative to say about This application."
22 Go_To_Meeting,Go_To_Meeting,David W.,Director,Gestione di organizzazioni non profit,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,4 /5,8/10,When your remote meetings need more than video,20/12/2018,"We love GoToMeeting because it's mostly simple and straightforward. Support for the product is great. Every issue we had was answered within minutes of our call. The pricing is adequate considering how many participants you can have on each meeting. Overall, I recommend GoToMeeting as gold standard right up there with WebEx and JoinMe. GoToMeeting is in my opinion more reliable and has easier setup.","GoToMeeting is a staple service at my organization. We used Google Hangouts for simple video and screen sharing sessions, but GoToMeeting presents a more full-featured and polished product. This is essential for things like Board or executive level meetings where interactive white boards and the ability to shift who the presenter is are essential. GoToMeeting has native apps for Mac, PC, Android, and iOS. This is crucial for BYOD organizations or organizations that rely on volunteers. Features like whiteboard make it very easy to share and visualize ideas as they evolve. Having the ability to change who the presenter is and giving that person ""remote control"" of the meeting is also hassle free.","The look and feel of the service is not the same across all platforms. This makes it difficult to explain functionality to users when starting a meeting or if you need to give instructions on the fly. If you are on a Mac and the other person is on a PC and you are trying to remember how to hand off controls and can't remember how on the other platform, this is a real impediment to getting things done."
23 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Team lead,Banche di investimento,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Goto Meeting Daily user,31/10/2019,Over it work great and been the bone for our dIaily meetings with screen share and easy to work.,"I have used it for my daily meetings and it works great, recoding of meetings can be used later and can be in mp4 format , even i can pause the recordings in between the meetings and resume it as and when required","Bridge numbers are local, country specific if it can tollfree and if people from other country could join dialing local
Numbers from their phone?"
24 Go_To_Meeting,Go_To_Meeting,David P.,Marketing,Amministrazione pubblica,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,"Great screenshare and more, but can be a little slow to load",12/11/2019,"Really great tool. I like the sharing options and once it's loaded, it can be very fast. It has a great reputation and I've never had to use the support.",It's one of the best screensharing and meeting tools. Most people are familiar with it and have the launcher already downloaded.,It can be slow to load. I have some issues where it prompts me to download even though I already have it downloaded.
25 Go_To_Meeting,Go_To_Meeting,Sanjay M.,Application Engineer,Software informatici,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,5 /5,9/10,A light weight and ready-to-plugin tool for all types of online meetings,6/12/2019,"It's easier for us to get in touch with our customers whenever required, fast and in a reliable way. For us it saved a lot of time instead of us travelling to customer places to check what's going on at customers end and provide a solution. Right at where i'm sitting, i'm able to gather the audience in just one single interface to save time and costs.","It is fast and have both desktop and online versions. New meeting ID with automatic setup of links and mobile numbers to join around the world saved lot of time and ambiguity. It's good that we could be able to record webinars, meetings and save them in video format.",I find it little expensive when compared to its peers. Sometimes they roll-out offers and sometimes not. Also video quality should be improved.
26 Go_To_Meeting,Go_To_Meeting,Tyler F.,Marketing,Consulenza manageriale,Più di 1 anno,4 /5,5 /5,4 /5,2 /5,3 /5,6/10,"Competent conference platform, but support is dismal",30/4/2020,"GoToMeeting is an effective platform for most business needs. Just be sure that you do not require any unique support needs, or if you do that you have the time to wait and deal with the technician tango that companies like this do.","GoToMeeting contains a range of important features to remain competitive in the conference arena. It integrates with Outlook with was an important requirement for us, and offers both on-demand and scheduled meeting capabilities.","I am an admin for my company, and my team has reported several technical issues including problems with screensharing and lots of audio difficulties. GoToMeeting's technical support is typical of a large company where you must wait on hold in a call center and get passed around to several low-skilled off-shore technicians who don't seem to know how to help you or who waste your time."
27 Go_To_Meeting,Go_To_Meeting,Alex B.,"Manager, Media Tech Services",Gestione formativa,Più di 2 anni,4 /5,5 /5,4 /5,4 /5,2 /5,6/10,Solid Communication Tool - Too Expensive,14/4/2020,GoToMeeting has been a solid online meeting application. The costs really limit our amount of licenses.,Ease of use for all parties. Easy to set up meetings. Ease of use of software. Provides online meeting safety.,The price. The licensing costs for GoToMeeting is not viable compared to the many cheaper online meeting products out there.
28 Go_To_Meeting,Go_To_Meeting,David K.,Vice President - Administration,Commercio all'ingrosso,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Excellent Business Conference Software,24/9/2020,"Whether youâ€™re hosting or attending meetings in your office or on the go using your mobile device, GoToMeeting is an excellent meeting communication tool for your employees as well as for your customers.","Whenever you need to communicate remotely with co-workers or with customers, GoToMeeting is an excellent online audio and face to face conferencing solution. As long as you have access to the internet, GoToMeeting works with Windows, Mac, and also with mobile devices. Online screen sharing and recording of content is very easy to implement with just a click of a button on the GoToMeeting screen. Installation is simple and very fast to set up. And with employees working remotely now more than ever, GoToMeeting allows you to host or join a meeting from anywhere that has a stable internet connection using a computer, laptop, or a mobile device. There's also a free trial period offered to make sure that GoToMeeting is an excellent communication tool for your business. You can also count on GoToMeeting for excellent customer service with any questions or problems you may have setting up or using the software.","If your internet connection is not stable, GoToMeeting may become interrupted and not work properly. GoToMeeting offers several different business plans and you may have to upgrade and pay more to get the most advanced features of the service."
29 Go_To_Meeting,Go_To_Meeting,Firas H.,Manager information systems,Industria edilizia,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,4 /5,8/10,GoToMeeting - Conference call software,4/12/2019,"I always feel comfortable when using GoToMeeting since there are fewer technical problems, if none, mostly when the parties involved are from different locations in the world and different companies with multiple IT infrastructure. You hardly have a problem with the firewall and many local numbers are available to calling-in.",GoToMeeting is the best software I ever used for call and video conferencing. It has the best interface and easy to use. It is the most stable software compared to the performance of others. It has additional features that you don't find in many other software such as the voting option.,"The price is always the major negative issue compared to other available software, especially nowadays with many open source and free software in the market"
30 Go_To_Meeting,Go_To_Meeting,Jaimin S.,Sr. Director R&D and Operations,Industria farmaceutica,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Very user friendly!,31/3/2020,Very useful for conducting the live meetings with the screen sharing!,"Scheduling meeting is very easy, in less than 30 seconds you can schedule the meeting and entire call details will be generated automatically with new dial-in number and new meeting id every time!",There is not anything that I did not like about this software yet! All the features which you are looking for are available here!
