,ID_General,Piattaforma,Settore,Utilizzo_software,Consigliato,Data_Recensione,Incovenienti,Lang,bin_y
29,1257 Asana,Asana,Information Technologies,2+ years,6.0,18/08/2020,hassle setup cluttered daunting first adjust quickly,en,0
30,128 Asana,Asana,Information Technologies,2+ years,7.0,14/09/2020,typically say early adopter actually feature lost product offered ended basecamp digest onboarding process perhaps personal anecdote norm experience,en,0
31,1350 Asana,Asana,Information Technologies,2+ years,5.0,10/10/2020,notified via_email subtask hard_to_navigate find document someone referencing especially buried several subtasks,en,0
32,1355 Asana,Asana,Healthcare,2+ years,7.0,24/09/2020,lunica pecca ã il prezzo che secondo potrebbe essere piã¹ competitivo per quanto riguarda la funzionalitã credo che non gli si possa dire nulla,en,0
33,1360 Asana,Asana,Information Technologies,2+ years,5.0,18/07/2020,pricing improved relative expensive_compared feature provided deployment difficult,en,0
34,1369 Asana,Asana,Enginering & Manufactoring,2+ years,7.0,07/02/2020,pricey add tricky start,en,0
35,1372 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,14/12/2019,almost full year head around multiple level nesting task upon task another task confusing lost likewise opening task subtask finding delete option annihilates mothertask counterintuitive option subtask deletion keyboard shortcut,en,0
36,1385 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,18/07/2019,difficult end able easily status job necessarily quicker,en,0
37,141 Asana,Asana,Teacher training & Education,2+ years,7.0,14/10/2020,project_management werent huge_fan calendar view visual team_member calendar view interface seemed somewhat clunky,en,0
38,1451 Asana,Asana,Healthcare,2+ years,7.0,06/10/2020,task creation box super intuitive better label assigned date think task timeline assigned,en,0
39,1458 Asana,Asana,Information Technologies,2+ years,7.0,20/08/2020,level inflexibility clutter end interface 11 document clean came renewal moved back free google sheet 11,en,0
40,1459 Asana,Asana,Information Technologies,2+ years,0.0,29/07/2020,start let start secretely changing pricing customer notifying pricing case mine doubled notification message secretly changed price new ux terrible changed click least 2 3 click anywhere accessibility thrown window keyboard look feel terrible usability 6 month ago sure changed stay away terrible,en,0
41,1471 Asana,Asana,Charity & Voluntary Work,2+ years,1.0,14/01/2020,live customer_support tech chat taking multiple customer time screen timing time_take response tech chat minute refer email customer_support know trust company operation level customer_support chatting customer_support request business size employee mean likely unless larger organization priority 50 employee right response support hour,en,0
42,148 Asana,Asana,Energy & Utilities,2+ years,7.0,30/09/2019,find someone add project prior knowledge often overlook entirely actually pay attention inbox inbox little_difficult task prefer people verbally tell project working keep tab project verbally hand task keep_track person project sometimes wish better integration_with_google sheet sheet time,en,0
43,1483 Asana,Asana,Information Technologies,2+ years,7.0,06/09/2019,lost time big sometimes lose part communication colleague must check carefully confused option,en,0
44,1487 Asana,Asana,Property & Constructions,2+ years,6.0,25/07/2019,free_version calendar application weak couldnt plan social_medium calendar multiple milestone pending draft scheduled published affiliated date track lifetime single task sure paid subscription free_option limited firewall commercial internet_connection separate station accessing email thats inconvenient wish functionality,en,0
45,150 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,14/08/2019,revolutionize category softwareservices anything morebetter task_list manager end matter preference try connection option offered either hard recommend another category,en,0
46,1525 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,12/12/2018,concern learn initially compared another looked called bandcamp bandcamp presentation setup,en,0
47,1530 Asana,Asana,Media & Internet,2+ years,7.0,29/11/2018,lost main interface sometimes easily fall crack example task_task task,en,0
48,1535 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,23/10/2018,paying free writing todo list piece paperthe difference quicker others completed task v finding office confirming manually,en,0
49,157 Asana,Asana,Teacher training & Education,2+ years,7.0,12/08/2019,tagging people project became confusing cumbersome wasnt set backup person keep_track item though paid_version new_feature added included making integration everyday le likely,en,0
50,1588 Asana,Asana,"Business, Consulting & Management",2+ years,6.0,08/02/2017,learning_curve,en,0
51,1591 Asana,Asana,Charity & Voluntary Work,2+ years,,22/11/2016,confusion delimitation project task_and_subtasks ability group project folder general option customization,en,0
52,1599 Asana,Asana,Information Technologies,2+ years,0.0,03/11/2016,offer jira package offer enforced flow bug defect tracking pull ticket ie task identifier cr4478 instead 20 character random string pull individual task take nearly 5 second load splash screen wait easily code task 3rd_party api connecting jira automatically link jenkins product defect tracking system entirely lacking intended thats incredibly lacking creative sorta still appealing qa dev side,en,0
53,1600 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,03/11/2016,slow load time sudden crash task duplication take_a_long_time,en,0
54,1611 Asana,Asana,Environment & Agricolture,2+ years,7.0,22/09/2020,think sometimes task subtask made oversimplified perhaps needing figure sure feature_could,en,0
55,1619 Asana,Asana,Retail,2+ years,3.0,20/03/2020,discovering robust became apparent lacking priced start end date basic_functionality free level willing negotiate price extremely small_team think team small answer yes today economy creative team general often tiny team working massive project moving part keep_track decimating budget 40month 2 people idts top able rearrange order task appear theme appear calendar based tag created first extremely_frustrating support usually subpar pricing lack flexibility head scratching large small businessside hustle industry expanding feature per subscription level compared_to_competitor previous job decided lack strategy communication rolling update compared_to_competitor maddening last position,en,0
56,1622 Asana,Asana,Information Technologies,2+ years,7.0,06/02/2020,mainly office cannot custom made specific team function standard throughout,en,0
57,1625 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,16/12/2019,functionality team needed schedule format product switched,en,0
58,1638 Asana,Asana,"Leisure, sport & Turism",2+ years,5.0,20/09/2019,hide que learned basic function started asuna training helped quick click tutorial always question,en,0
59,1643 Asana,Asana,"Accountancy, Banking & Finance",2+ years,6.0,23/07/2019,least feature_set feature basic organisational task_management system integration api strong point market competitive behind competition,en,0
60,167 Asana,Asana,Teacher training & Education,2+ years,7.0,03/10/2019,viewing list task difficult_time,en,0
61,1672 Asana,Asana,Retail,2+ years,7.0,02/01/2019,feel messy design hurt eye lost easily intuitive design,en,0
62,1674 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,17/12/2018,expesive next level pro rent spend kind money,en,0
63,1683 Asana,Asana,Retail,2+ years,7.0,20/09/2018,desktop_app still waiting,en,0
64,1689 Asana,Asana,Aerospace,2+ years,7.0,21/08/2018,steep learning_curve compared time management productivity trello basecamp screen confusing firsttime,en,0
65,1711 Asana,Asana,"Marketing, Advertising & PR",2+ years,,06/09/2017,consider task_management system feature associated cost youre unlikely beat,en,0
66,1718 Asana,Asana,Property & Constructions,2+ years,5.0,03/11/2016,post report colleague,en,0
67,1732 Asana,Asana,Teacher training & Education,2+ years,5.0,06/08/2020,miss mark physical implementation caneasily set goal timeline little accountability congruency team_member fall behind trying redistribute load proved clunky troublesome feature appear simplistic lead believe complex wont,en,0
68,174 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,26/03/2020,first start overwhelming administrator detailed organized task_project worse team moving competitor excited feature find frustrating pm soon past,en,0
69,1741 Asana,Asana,Creative Arts & Design,2+ years,7.0,27/02/2020,adjustment period deal getting buyin group member start figure necessary whats goal project spend day making,en,0
70,1745 Asana,Asana,Information Technologies,2+ years,7.0,11/01/2020,overall app feel stale term design found workflow setting checking todos feel strange compared several coworkers mention theyve moved come_across userfriendly,en,0
71,1746 Asana,Asana,"Leisure, sport & Turism",2+ years,6.0,16/12/2019,wish_i_could build project outside team create project separate application,en,0
72,1747 Asana,Asana,"Marketing, Advertising & PR",2+ years,4.0,16/12/2019,huge_fan felt basecamp super read understand right_away super confusing still lost looking certain card project,en,0
73,1774 Asana,Asana,Creative Arts & Design,2+ years,7.0,12/04/2019,inbox notification notification show little yellow dot sound anything refresh notification behind notification gmail real_time resizes file sent sure time bug definitely,en,0
74,1778 Asana,Asana,Transports Logistics,2+ years,7.0,26/03/2019,hard_time getting assign sometimes hit enter typing task title add blank task little_annoying,en,0
75,1793 Asana,Asana,Creative Arts & Design,2+ years,6.0,07/12/2018,search inbox comment made ticket finishing wish inbox instant_messaging system maximum size dropping file,en,0
76,1801 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,14/11/2018,could considered basic help track task across people step inside could feel le functionality able keep file universal place lost inside task bigger picture le micro,en,0
77,1812 Asana,Asana,Retail,2+ years,6.0,04/10/2018,critical team page different configuration application real goal project become white noise,en,0
78,1832 Asana,Asana,Hospitality & Event Managements,2+ years,7.0,16/04/2018,people familiar interface confusing new help video,en,0
79,1863 Asana,Asana,Property & Constructions,2+ years,7.0,09/10/2020,lack project calendar deal breaker administrator project calendar ability milestone calendar item whole project organization,en,0
80,1865 Asana,Asana,Retail,2+ years,6.0,22/09/2020,slightly complicated figure took_figure bell_and_whistle figured made robust,en,0
81,1870 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,26/07/2020,older generation staff member found cumbersome time_consuming required update task frequently reallly flaw believe generational believe overcome long remains friendly update,en,0
82,1872 Asana,Asana,Healthcare,2+ years,7.0,19/06/2020,follow task_task multistep note waiting v action item better note progress task,en,0
83,1877 Asana,Asana,Social Care,2+ years,7.0,13/04/2020,functionality explanation built template video abc,en,0
84,188 Asana,Asana,Information Technologies,2+ years,7.0,25/02/2020,lack_of_feature project_management feature_missing create manage milestone view dashboard give valuable data progress project status,en,0
85,1888 Asana,Asana,Information Technologies,2+ years,6.0,03/12/2019,meaningful report track time spent overview real agile burndown chart,en,0
86,1891 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,29/10/2019,cover image limit quickly notice luckily search function fast,en,0
87,1893 Asana,Asana,Creative Arts & Design,2+ years,7.0,19/09/2019,found recurring_task clunky option incorrectly ton notification confusing able recurring_task definitely main reason switched away,en,0
88,1933 Asana,Asana,Creative Arts & Design,2+ years,6.0,13/12/2018,find fairly confusing think interface pretty unintuitive day day planning require another solution point pain swap,en,0
89,2010 Asana,Asana,"Business, Consulting & Management",2+ years,6.0,18/07/2017,hard print list complicated hitting print wish_easier assign_task multiple_people,en,0
90,2016 Asana,Asana,Enginering & Manufactoring,2+ years,7.0,17/11/2016,task find,en,0
91,2017 Asana,Asana,Property & Constructions,2+ years,7.0,03/11/2016,email app,en,0
92,2018 Asana,Asana,Media & Internet,2+ years,,25/10/2015,kinda clunky loading sometimes disconnect left idle try guess thats equivalent refresh,en,0
93,202 Asana,Asana,Information Technologies,2+ years,7.0,16/03/2020,biggest con learning_curve thorough layer functionality come steep learning_curve possible confusion amongst team team_member different layer project internally training onboarding ensure uniform usage effective project_management team,en,0
94,2024 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,29/04/2017,tad intimidating,en,0
95,2034 Asana,Asana,"Marketing, Advertising & PR",2+ years,0.0,16/09/2020,trello year find_intuitive difficult_to_navigate find task_assigned changed,en,0
96,2035 Asana,Asana,Creative Arts & Design,2+ years,4.0,27/06/2017,huge amount_of_feature larger project inbuilding maintenance request,en,0
97,2055 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,28/12/2016,bug please fix,en,0
98,2057 Asana,Asana,Recruitment & HR,2+ years,,29/03/2016,none found around,en,0
99,2062 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,20/03/2019,certain doubt generated project executed easily,en,0
100,2064 Asana,Asana,Public Services & Administration,2+ years,5.0,28/02/2019,added several task_assigned workload extremely convoluted difficult manage,en,0
101,2066 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,22/01/2019,application easiest somewhat complicated interface,en,0
102,2069 Asana,Asana,Charity & Voluntary Work,2+ years,5.0,27/11/2018,sent email wasnt effective reminding team_member,en,0
103,207 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,25/10/2019,company seems extremely cluttered delivering key information show overdue task homepage click around find task front center easily find record completed company assign_task next person review instead completing task mean endless notification task_completed day ago record task recently worked frustrating trying look spent time,en,0
104,2074 Asana,Asana,Creative Arts & Design,2+ years,5.0,06/09/2018,typically pretty tech_savvy stumped hard_to_navigate always took discover correct,en,0
105,2089 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,18/10/2016,confusing setup,en,0
106,209 Asana,Asana,Public Services & Administration,2+ years,7.0,27/04/2019,learning_curve feature feel intuitive seemingly thus commitment slew small annoyance moving feature close dialogue box directly instead clicking elsewhere,en,0
107,2092 Asana,Asana,Retail,2+ years,7.0,01/02/2019,big team control enough pay,en,0
108,2099 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,21/10/2020,always hard_time finding think logo color pretty muted hard remember,en,0
109,2101 Asana,Asana,Creative Arts & Design,2+ years,5.0,03/10/2019,hard email read recently sent,en,0
110,2119 Asana,Asana,Media & Internet,2+ years,,23/10/2015,sometimes_hard feature,en,0
111,2120 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,13/09/2020,hard manage task create gantt_chart easily schedule track timeline,en,0
112,2121 Asana,Asana,"Marketing, Advertising & PR",2+ years,3.0,18/01/2019,assign_task personmaking impossible team task added subtask current task,en,0
113,2129 Asana,Asana,Creative Arts & Design,2+ years,5.0,13/07/2020,reply thread email take email signature separate different comment creates 5 reply thread open web_browser slow_to_load,en,0
114,2158 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,13/10/2020,honestly simpler functioning suite little overwhelming,en,0
115,2169 Asana,Asana,Aerospace,2+ years,7.0,13/10/2018,lack advanced planning option time_tracking,en,0
116,217 Asana,Asana,Information Technologies,2+ years,7.0,26/01/2020,support integration slack option format task precisely creating task possible add input field order ensure necessary information related task entered correctly however creating task slack customized field information complete organized creating,en,0
117,2206 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,23/06/2020,task_completed automatically disappear chat_functionality comment functionality project_task read understand,en,0
118,2220 Asana,Asana,Retail,2+ years,4.0,10/10/2018,overall visibility task conversation task subtask able mark task complete email_notification link first,en,0
119,223 Asana,Asana,Property & Constructions,2+ years,7.0,30/09/2019,recently update changed format task order add tag every task open task whereas able,en,0
120,2235 Asana,Asana,Transports Logistics,2+ years,2.0,22/04/2020,hard set time product full bug since beginning send link set account end,en,0
121,2243 Asana,Asana,Charity & Voluntary Work,2+ years,5.0,06/10/2020,reminder check goal getting email regarding worrisome,en,0
122,2245 Asana,Asana,Retail,2+ years,0.0,18/06/2018,feeling disappointed room_for_improvement key area,en,0
123,2255 Asana,Asana,Social Care,2+ years,4.0,03/10/2019,fan switched basecamp organization recommended nonprofit,en,0
124,2256 Asana,Asana,Information Technologies,2+ years,7.0,07/05/2020,pretty pricey view robust minimal email_notification annoying,en,0
125,2260 Asana,Asana,"Accountancy, Banking & Finance",2+ years,6.0,21/03/2019,could designed better scroll horizontally project visibility difficult leave white space task,en,0
126,2264 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,15/08/2017,microsoft project wish task dependency easier view full list task sub_task instead diving task sub_task,en,0
127,2292 Asana,Asana,"Accountancy, Banking & Finance",2+ years,2.0,05/11/2020,manager functionality drawing report rest team behind ahead hisher deadline free_version,en,0
128,2299 Asana,Asana,Media & Internet,2+ years,7.0,11/12/2018,entangled someone initiate experience overwhelming,en,0
129,2300 Asana,Asana,"Accountancy, Banking & Finance",2+ years,,06/10/2016,diffiuculkt,en,0
130,2316 Asana,Asana,Information Technologies,2+ years,6.0,06/12/2018,wanted try timeline feature trial version let,en,0
131,2321 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,18/05/2020,requires keep team board properly project managing everyone supposed begin fall crack,en,0
132,2322 Asana,Asana,Media & Internet,2+ years,7.0,29/12/2018,experience intuitive another kind apps,en,0
133,2330 Asana,Asana,Teacher training & Education,2+ years,0.0,25/02/2020,customer_service paid full year set stopped_working literally couldnt item,en,0
134,2338 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,08/04/2020,able customize interface desktop_application cost higher accessorize,en,0
135,2339 Asana,Asana,Media & Internet,2+ years,3.0,23/09/2020,interface messy clogged hard_to_find looking feel workspace hard focus task decrease effectiveness,en,0
136,234 Asana,Asana,Enginering & Manufactoring,2+ years,7.0,20/04/2020,limit information attached reviewed app force people collaborate decisionmaking apps offer twolevel task capability thus driving away hard_to_keep remote team point different project_management job,en,0
137,2349 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,16/07/2019,feature lacking assigning multiple_people task assigning comment people,en,0
138,2353 Asana,Asana,"Marketing, Advertising & PR",2+ years,4.0,26/10/2019,seemed bloated slow mostly nonintuitive mark completed assign job application seemed trying apps already better,en,0
139,2369 Asana,Asana,Media & Internet,2+ years,6.0,23/12/2018,hated someone_else assigned project employer email assignment assigned confused first_time happened became annoying,en,0
140,237 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,18/07/2019,task assigning limitation around recurring_task date set every 2nd tuesday month date example feature paid_version level usefulness project_management directly related whether youre paid_plan,en,0
141,2395 Asana,Asana,Property & Constructions,2+ years,3.0,22/10/2019,liked_least product function expected,en,0
142,2398 Asana,Asana,"Leisure, sport & Turism",2+ years,6.0,06/02/2019,miss incoming message change project needed,en,0
143,2412 Asana,Asana,Retail,2+ years,7.0,06/10/2020,prefer system trello jira feature functionality still,en,0
144,2414 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,21/12/2018,felt functionality wasnt_anything different better option offer interesting actually addone additional integration associated cost,en,0
145,2422 Asana,Asana,Teacher training & Education,2+ years,7.0,23/12/2019,fixed format project eventuality project growing bigger anticiapted unable change format managebale,en,0
146,2432 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,19/10/2020,kind cumbersome hard_to_navigate intuitively wish_easier designwise experience content could help new understandng better definitely,en,0
147,2448 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,03/11/2016,hard_time depth possibility,en,0
148,2451 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,22/12/2017,ability add new_task subtasks challenging frustrating try new added correct project channel,en,0
149,2452 Asana,Asana,Enginering & Manufactoring,2+ years,7.0,11/11/2016,able handle,en,0
150,2454 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,06/02/2020,everyday usually take_some_time remember add namescontacts wish little selfexplanatory,en,0
151,2456 Asana,Asana,Law & Security,2+ years,6.0,16/05/2018,could sync others easily navigation could made friendly,en,0
152,246 Asana,Asana,Charity & Voluntary Work,2+ years,,25/08/2014,allow invite 30 member per workspace free 15 invitation mac app although smoothly chrome safari mozilla opera ie,en,0
153,2469 Asana,Asana,Healthcare,2+ years,0.0,17/03/2020,universal collaboration colleague friend social network piece help,en,0
154,2473 Asana,Asana,Retail,2+ years,7.0,19/09/2020,getting navigating,en,0
155,2474 Asana,Asana,"Marketing, Advertising & PR",2+ years,3.0,07/01/2020,task broken visualization timeline,en,0
156,2478 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,10/09/2019,sometimes confuse find daily deadline task,en,0
157,2483 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,19/09/2020,little inflexible intuitive navigate new either create flow task could simplified,en,0
158,249 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,17/03/2020,aspect frustrating created obstacle gaining enduser buyin since general say continued became cumbersome impractical continue free_version working create workarounds handicapped functionality came free_version,en,0
159,2494 Asana,Asana,Transports Logistics,2+ years,6.0,06/02/2020,cost expensive ended free_trial think worth end purchasing,en,0
160,2501 Asana,Asana,"Accountancy, Banking & Finance",2+ years,,30/01/2016,search powerful enough seem search comment,en,0
161,2512 Asana,Asana,Healthcare,2+ years,0.0,04/08/2020,intuitive missing accidentally deleted whole goal set accident think intuitive product progress tracking personal team environment,en,0
162,2518 Asana,Asana,"Leisure, sport & Turism",2+ years,5.0,06/08/2018,transferring file,en,0
163,252 Asana,Asana,Healthcare,2+ years,7.0,12/12/2019,fire keep house warm burn youre careful depending turn micromanagers weapon choice living hell employee hundred new_message email inbox letting know new_task assigned little context explanation another example call client back please tell please door tread carefully young padawans,en,0
164,2522 Asana,Asana,Healthcare,2+ years,7.0,06/10/2020,reassign project person leaf organization select edit multiple task time,en,0
165,2528 Asana,Asana,Teacher training & Education,2+ years,1.0,29/08/2018,seems add another step planning process found easier everyone keep_track task,en,0
166,2530 Asana,Asana,Retail,2+ years,6.0,03/11/2016,reminder system,en,0
167,2531 Asana,Asana,Property & Constructions,2+ years,7.0,17/07/2020,algumas partes ainda não são traduzidas para o meu idioma o que dificulta o trabalho de alguãm que tenha pouca noãão inglãªs,en,0
168,2532 Asana,Asana,Creative Arts & Design,2+ years,6.0,12/12/2019,liked ability_to_share found aspect little_complicated andor confusing,en,0
169,2536 Asana,Asana,"Accountancy, Banking & Finance",2+ years,,23/01/2016,outlook email integration exists could seamless internal gantt view although free integrated app dependency created integrated app,en,0
170,2561 Asana,Asana,Teacher training & Education,2+ years,6.0,06/09/2018,clunky screen cluttered working subtasks difficult,en,0
171,2563 Asana,Asana,Retail,2+ years,,17/03/2016,hard task organized example home screen giant list task sure organized chronologically order importance,en,0
172,2566 Asana,Asana,Creative Arts & Design,2+ years,4.0,19/06/2020,fair free_version 100 sure pay free_version feel client page jumbled task organize based date,en,0
173,2567 Asana,Asana,"Accountancy, Banking & Finance",2+ years,0.0,12/12/2019,downloaded onto tried install kept getting error called helpdesk delete redownload still must conflicting app werent able_to_figure,en,0
174,2583 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,30/09/2019,find_intuitive found expensive market average,en,0
175,2585 Asana,Asana,"Leisure, sport & Turism",2+ years,4.0,16/07/2020,learning implementation curve little steep employee require time easily google_product,en,0
176,2597 Asana,Asana,Media & Internet,2+ years,,20/09/2015,could deadline easier,en,0
177,2599 Asana,Asana,Healthcare,2+ years,,17/09/2015,allow set specific time completion,en,0
178,2611 Asana,Asana,"Marketing, Advertising & PR",2+ years,5.0,03/11/2016,intuitive copy task content copied id copy task_and_subtasks,en,0
179,2616 Asana,Asana,Information Technologies,2+ years,7.0,21/09/2019,application fine small_business feature limit,en,0
180,2622 Asana,Asana,Information Technologies,2+ years,5.0,03/11/2016,assigning others task little_clunky,en,0
181,2625 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,29/09/2020,downside initial implementation process take_time set getting participant groove,en,0
182,2629 Asana,Asana,Creative Arts & Design,2+ years,0.0,28/03/2018,useful design intensive slow_to_load hard_to_keep track project desktop apps,en,0
183,2665 Asana,Asana,"Leisure, sport & Turism",2+ years,7.0,09/06/2020,overall continue felt better affordable option,en,0
184,2669 Asana,Asana,Information Technologies,2+ years,6.0,12/05/2020,lack reporting building relation task limited,en,0
185,2673 Asana,Asana,Information Technologies,2+ years,7.0,16/07/2019,seems still dev required order fully operational area ran management task wasnt fully certain,en,0
186,2678 Asana,Asana,Science & Pharmaceutical,2+ years,3.0,22/06/2019,lack working progress button,en,0
187,2681 Asana,Asana,Creative Arts & Design,2+ years,5.0,07/07/2019,text_message v,en,0
188,2696 Asana,Asana,Charity & Voluntary Work,2+ years,4.0,26/09/2019,userfriendly felt somewhat clunky difficulty tracking past project read social_medium thread team organization,en,0
189,2700 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,25/09/2020,product could integrated system ecosystem opposed another check,en,0
190,271 Asana,Asana,Media & Internet,2+ years,,10/12/2015,reason ultimately ended adding another project_management toolset targetprocess developer needed visual task board could span several project higher level story board could achieve tag wasnt built le visual nature referring kanban board trello targetprocess,en,0
191,2712 Asana,Asana,Healthcare,2+ years,7.0,17/09/2019,time complaint web_browser supporting,en,0
192,2715 Asana,Asana,Information Technologies,2+ years,4.0,02/01/2019,flaw consider unintuitive since managing set option complicated,en,0
